CURIE	Label	Parent	Definition	Definition's database cross reference	Equivalent class	Comment	Comment's database cross reference	editors note	exact synonym	broad synonym	narrow synonym	related synonym	in subset	creation date	created by	contributor
ID	AL rdfs:label@en	SC %	AL IAO:0000115@en	>AI oboInOwl:hasDbXref SPLIT=|	EC 'has part' some % SPLIT=|	AL rdfs:comment@en	>AI oboInOwl:hasDbXref SPLIT=|	AL IAO:0000116@en	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	A oboInOwl:inSubset SPLIT=|	AT oboInOwl:creation_date^^xsd:dateTime	AI oboInOwl:created_by SPLIT=|	AI dc:contributor
ELMO:3620100	Tropical-subtropical lowland rainforests	ELMO:3620207		https://www1.usgs.gov/csas/nvcs/unitDetails/860256|https://global-ecosystems.org/explore/groups/T1.1					T1.1|T1.1 Tropical-subtropical lowland rainforests|TT1.a1 |Tropical Lowland Rainforest 							
ELMO:3620101	Tropical-subtropical dry forests and thickets	ELMO:3620207		https://global-ecosystems.org/explore/groups/T1.2					T1.2|T1.2 Tropical-subtropical dry forests and thickets							
ELMO:3620102	Tropical-subtropical montane rainforests	ELMO:3620207		https://www1.usgs.gov/csas/nvcs/unitDetails/860262|https://global-ecosystems.org/explore/groups/T1.3					T1.3|T1.3 Tropical-subtropical montane rainforests|TT1.a2|Tropical Montane Rainforest							
ELMO:3620103	Tropical heath forests	ELMO:3620207		https://global-ecosystems.org/explore/groups/T1.4					T1.4 Tropical heath forests							
ELMO:3620104	Boreal and temperate high montane forests and woodlands	ELMO:3620208		https://global-ecosystems.org/explore/groups/T2.1					T2.1 Boreal and temperate high montane forests and woodlands							
ELMO:3620105	Deciduous temperate forests	ELMO:3620208		https://global-ecosystems.org/explore/groups/T2.2					T2.2 Deciduous temperate forests							
ELMO:3620106	Oceanic cool temperate rainforests	ELMO:3620208		https://global-ecosystems.org/explore/groups/T2.3					T2.3 Oceanic cool temperate rainforests							
ELMO:3620107	Warm temperate laurophyll forests	ELMO:3620208		https://global-ecosystems.org/explore/groups/T2.4					T2.4 Warm temperate laurophyll forests							
ELMO:3620108	Temperate pyric humid forests	ELMO:3620208		https://global-ecosystems.org/explore/groups/T2.5					T2.5 Temperate pyric humid forests							
