CURIE	Label	Parent	Definition	Definition's database cross reference	Equivalent class	Comment	Comment's database cross reference	editors note	exact synonym	broad synonym	narrow synonym	related synonym	in subset	creation date	created by	contributor
ID	AL rdfs:label@en	SC %	AL IAO:0000115@en	>AI oboInOwl:hasDbXref SPLIT=|	EC 'has part' some % SPLIT=|	AL rdfs:comment@en	>AI oboInOwl:hasDbXref SPLIT=|	AL IAO:0000116@en	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	A oboInOwl:inSubset SPLIT=|	AT oboInOwl:creation_date^^xsd:dateTime	AI oboInOwl:created_by SPLIT=|	AI dc:contributor
ENVO:01001886	landform	ENVO:00000191														
ENVO:01001884	surface landform	ENVO:01001886														
ELMO:3630000	lowland	ENVO:01001884	A landform which has an elevation lower than 200m above sea level.	https://en.wikipedia.org/wiki/Upland_and_lowland												
ELMO:3630001	plant community	ENVO:01000254	An environmental system which consists of a set of plants at some stage in the community assembly process.													
ELMO:3630003	ecosystem functional group	ENVO:01001110	A group of related ecosystems within a biome that share common ecological drivers, which in turn promote similar biotic traits that characterise the group. 	doi:10.1038/s41586-022-05318-4|https://global-ecosystems.org/page/typology												
ELMO:3630004	tropical-subtropical lowland rainforests	ELMO:3630003	An ecosystem functional group which has a rainforest plant community, experiences tropical climactic conditions and is located in a lowland landform.	https://global-ecosystems.org/explore/groups/T1.1	ENVO:01000204|ELMO:3630000|ELMO:3630002	    			Tropical Lowland Rainforest|TT1.a1							
ELMO:3630005	tropical dry forests and thickets	ELMO:3630003	An ecosystem functional group which has a forest plant community, experiences tropical climactic conditions and seasonally dry conditions.	https://global-ecosystems.org/explore/groups/T1.2	ELMO:3630006|ENVO:01000204|ELMO:3630007											
ELMO:3630006	forest plant community	plant community	A plant community which consists mainly of plants with a tree growth form, possessing a continuous and closed canopy.								thicket					
ELMO:3630002	rainforest plant community	ELMO:3630006	A plant community which consists mainly of plants with a tree growth form, possessing a continuous and closed canopy, is subject to high humidity and rainfall and includes populations of epiphytes, lianas and vegetation adapted to high moisture.													
ELMO:3630007	seasonally dry	ENVO:01000203	An environmental condition in which an area receives ~1800 mm of rainfall per year, with a period of 3 to 6 months receiving less than 100 mm per month.	https://global-ecosystems.org/explore/groups/T1.2								arid				
ELMO:3630008	subtropical dry forests and thickets	ELMO:3630003	An ecosystem functional group which has a forest plant community, experiences subtropical climactic conditions and seasonally dry conditions.	https://global-ecosystems.org/explore/groups/T1.2	ELMO:3630006|ENVO:01000204|ELMO:3630009											
ELMO:3630009	subtropical	ENVO:01000203	An environmental condition in which an area experiences hot summers and mild winters, and is located to the immediate north or south of the tropical zone.	https://en.wikipedia.org/wiki/Subtropics												
ELMO:3630010	tropical montane rainforests	ELMO:3630003	An ecosystem functional group which has a rainforest plant community, experiences tropical climactic conditions and is located at a montane altitude.	https://global-ecosystems.org/explore/groups/T1.3	ENVO:01000204|ENVO:01000342|ELMO:3630002											
ELMO:3630011	subtropical montane rainforests	ELMO:3630003	An ecosystem functional group which has a rainforest plant community, experiences subtropical conditions and is located at a montane altitude.	https://global-ecosystems.org/explore/groups/T1.3	ELMO:3630009|ENVO:01000342|ELMO:3630002											
ELMO:3630012	subtropical lowland rainforests	ELMO:3630003	An ecosystem functional group which has a rainforest plant community, experiences subtropical climactic conditions and is located in a lowland landform.	https://global-ecosystems.org/explore/groups/T1.1												
ELMO:3630013	heath plant community	ELMO:3630001	A plant community which consists mainly of open, low-growing woody vegetation.	https://en.wikipedia.org/wiki/Heath								heathlands				
ELMO:3630014	tropical heath forests	ELMO:3630003	An ecosystem functional group which has some heath and some forest plant communities and experiences tropical climactic conditions.	https://global-ecosystems.org/explore/groups/T1.4	ELMO:3630006|ELMO:3630013|ENVO:01000204											
ELMO:3630015	temperate high montane forests	ELMO:3630003	An ecosystem functional group which consists of a forest plant community, experiences temperate climactic conditions and is located in an upper montane region. 	https://global-ecosystems.org/explore/groups/T2.1	ELMO:3630006|ENVO:01000345|ENVO:01000206											
ELMO:3630016	deciduous plant community	ELMO:3630006	A plant community dominated by broadleaf deciduous trees.	https://global-ecosystems.org/explore/groups/T2.2												
ELMO:3630017	deciduous temperate forests	ELMO:3630003	An ecosystem functional group which has a broadleaf forest plant community and experiences temperate climactic conditions.	https://global-ecosystems.org/explore/groups/T2.2	ELMO:3630016|ENVO:01000206											
ELMO:3630018	oceanic cool temperate rainforests	ELMO:3630003	An ecosystem functional group which has a rainforest plant community and experiences oceanic temperate climate conditions.	https://global-ecosystems.org/explore/groups/T2.3	ELMO:3630002|ENVO:01000380											
ELMO:3630020	laurel forest	ELMO:3630006	A plant community characterized by broadleaf tree species with evergreen, glossy, elongated leaves.	https://en.wikipedia.org/wiki/Laurel_forest					laurisilva|laurissilva|laurophyll forest							
ELMO:3630019	warm temperate laurophyll forests	ELMO:3630003	An ecosystem functional group which has a laurel forest plant community and experiences temperate climactic conditions.	https://global-ecosystems.org/explore/groups/T2.4	ELMO:3630020|ENVO:01000206											
ELMO:3630021	fire-adapted ecosystem	ENVO:01001110	An ecosystem which has a history of regular fires that reset the seccessional state of the ecosystem and vegetation adapted to survive or require regular fire.	https://en.wikipedia.org/wiki/Pyric_herbivory					pyric							
ELMO:3630022	humid temperate	ENVO:01000206	A temperate condition which features frequent precipitation and humid conditions.	https://global-ecosystems.org/explore/groups/T2.5												
ELMO:3630023	temperate pyric humid forests	ELMO:3630003	An ecosystem functional group which has a forest plant community, experiences wet temperate conditions and has vegetation that is adapted to cycles of fire.	https://global-ecosystems.org/explore/groups/T2.5	ELMO:3630006|ELMO:3630022|ELMO:3630021											
ELMO:3630025	sclerophyll forest plant community	ELMO:3630006	A forest plant community that consists mainly of sclerophyll woody plants, which are drought-adapted and feature stiff, leathery leaves.	https://en.wikipedia.org/wiki/Sclerophyll												
ELMO:3630024	temperate pyric sclerophyll forests and woodlands	ELMO:3630003	An ecosystem functional group which has a sclerophyll forest plant community, experiences temperate climactic conditions and has vegetation that is adapted to cycles of fire.	https://global-ecosystems.org/explore/groups/T2.6	ELMO:3630025|ENVO:01000206|ELMO:3630021 											
ELMO:3630027	shrubland plant community	ELMO:3630001	A plant community characterized by vegetation dominated by shrubs that includes grasses, herbs and geophytes.	https://en.wikipedia.org/wiki/Shrubland												
ELMO:3630026	seasonally dry tropical shrublands	ELMO:3630003	An ecosystem functional group that experiences seasonally dry and tropical climactic conditions, and consists of a shrubland vegetation community.	https://global-ecosystems.org/explore/groups/T3.1	ELMO:3630007|ENVO:01000204|ELMO:3630027											
ELMO:3630028	seasonally dry temperate heathlands	ELMO:3630003	An ecosystem functional group that experiences seasonally dry and temperate climactic conditions, and consists of a heath plant community.	https://global-ecosystems.org/explore/groups/T3.2	ELMO:3630007|ENVO:01000206|ELMO:3630013											
ELMO:3630029	seasonally dry temperate shrublands	ELMO:3630003	An ecosystem functional group that experiences seasonally dry and temperate climactic conditions, and consists of a shrubland plant community.	https://global-ecosystems.org/explore/groups/T3.2	ELMO:3630007|ENVO:01000206|ELMO:3630027											
ELMO:3630031	cool temperate	ENVO:01000206	A temperate condition which features cool climactic conditions.	https://en.wikipedia.org/wiki/Temperate_climate												
ELMO:3630030	cool temperate heathlands	ELMO:3630003	An ecosystem functional group that experiences cool temperate climactic conditions and consists of a heath plant community.	https://global-ecosystems.org/explore/groups/T3.3	ELMO:3630031|ELMO:3630013											
ELMO:3630032	rocky pavements, screes and lava flows	ELMO:3630003	An ecosystem functional group that is characterized by exposure to extreme temperatures and weathering, with shallow soils and vegetation dominated by cryptogams (lichens, bryophytes)	https://global-ecosystems.org/explore/groups/T3.4				This class has no axioms because it seems to be an outlier, but they may be added if other types would use them as well. -TA								
ELMO:3630033	trophic savannas	ELMO:3630003	An ecosystem functional group that contains grassy woodlands and grasslands kept short by an abundance and diversity of large herbivores.	https://global-ecosystems.org/explore/groups/T4.1												
ELMO:3630034	pyric tussock savannas	ELMO:3630003	An ecosystem functional group that contains grassy woodlands and grasslands kept short by recurring fires.	https://global-ecosystems.org/explore/groups/T4.2	ELMO:3630021|ELMO:3630035											
ELMO:3630035	savanna plant community	ELMO:3630006	A plant community which consists mainly of grasses and scattered woody vegetation.	https://en.wikipedia.org/wiki/Savanna												
ELMO:3630036	hummock savannas	ELMO:3630003	An ecosystem functional group that contains a savanna plant community dominated by hummock-forming grasses.	https://global-ecosystems.org/explore/groups/T4.3												
ELMO:3630037	temperate woodlands	ELMO:3630003	An ecosystem functional group that contains temperate climactic conditions, and consists of a woodland plant community.	https://global-ecosystems.org/explore/groups/T4.4	ENVO:01000206|ELMO:3630038											
ELMO:3630038	woodland plant community	ELMO:3630001	A plant community which consists mainly of trees and shrubs forming an open canopy.	https://en.wikipedia.org/wiki/Woodland												
ELMO:3630040	temperate subhumid	ENVO:01000206	A temperate condition which features dry winters and wet summers.	https://en.wikipedia.org/wiki/Subhumid_temperate_climate												
ELMO:3630039	temperate subhumid grasslands	ELMO:3630003	An ecosystem functional group that experiences temperate subhumid climactic conditions and has a grassland plant community.	https://global-ecosystems.org/explore/groups/T4.5	ELMO:3630041|ELMO:3630040											
ELMO:3630041	grassland plant community	ELMO:3630001	A plant community dominated by grasses with interstitial forbs and isolated trees or shrubs.	https://en.wikipedia.org/wiki/Grassland												
ELMO:3630042	semi-desert steppe	ELMO:3630003	An ecosystem functional group characterized by a semi-arid climactic condition consisting of a grassland plant community.	https://global-ecosystems.org/explore/groups/T5.1	ELMO:3630041|ELMO:3630043											
ELMO:3630043	semi-arid	ENVO:01000203	An environmental condition in which annual precipitation is less than the precipitation threshold of an area, but more than 50% of the threshold. 	https://en.wikipedia.org/wiki/Semi-arid_climate												
ELMO:3630044	succulent deserts	ELMO:3630003	An ecosystem functional group that consists mainly of succulent plant community and experiences arid climactic conditions.	https://global-ecosystems.org/explore/groups/T5.2	ELMO:3630046|ENVO:01000230											
ELMO:3630045	succulent semi-deserts	ELMO:3630003	An ecosystem functional group that consists mainly of succulent plant community and experiences semi-arid climactic conditions.	https://global-ecosystems.org/explore/groups/T5.2	ELMO:3630046|ELMO:3630043											
ELMO:3630046	succulent plant community	ELMO:3630001	A plant community which consists mainly of cactus-like plants or other slow-growing spiny and succulent species.	https://en.wikipedia.org/wiki/Succulent_plant												
ELMO:3630047	sclerophyll hot deserts	ELMO:3630003	An ecosystem functional group that consists of a sclerophyll plant community and experiences arid climactic conditions.	https://global-ecosystems.org/explore/groups/T5.3	ELMO:3630049|ENVO:01000230											
ELMO:3630048	sclerophyll hot semi-deserts	ELMO:3630003	An ecosystem functional group that consists of a sclerophyll plant community and experiences semi-arid climactic conditions.	https://global-ecosystems.org/explore/groups/T5.3	ELMO:3630049|ELMO:3630043											
ELMO:3630049	sclerophyll plant community	ELMO:3630001	A plant community that consists mainly of hard-leaved (sclerophyll) plants, which are drought-adapted and feature stiff, leathery leaves.	https://en.wikipedia.org/wiki/Sclerophyll												
ELMO:3630100	climatic domain	ENVO:01000203	A climatic domain is a set of climatic conditions that affect a large portion of the earth.	doi:10.3897/VCS.86102												
ELMO:3630101	cryocratic domain	ELMO:3630100	A climatic domain which consists of severe cold such as the type experienced around the poles and in the high mountains.	doi:10.3897/VCS.86102												
ELMO:3630102	mesocratic domain	ELMO:3630100	A climatic domain which consists of thermic seasons, one cold and another warm.	doi:10.3897/VCS.86102												
ELMO:3630103	xerocratic domain	ELMO:3630100	A climatic domain where the scarcity of moisture is the main determinant factor for living beings.	doi:10.3897/VCS.86102												
ELMO:3630104	thermocratic domain	ELMO:3630100	A climatic domain which has an absence of cold and thermic seasons.	doi:10.3897/VCS.86102												
